Stock,BuyPrice,BuyVolume,SellPrice,SellVolume
000009.SZ,136505.36480930986,319741302779,149002.7139263286,4559385471448
000012.SZ,62070.15649702903,166711679716,67433.69351796363,1068358387517
000021.SZ,122041.12544534907,171726736495,130526.11428964118,2154179435936
000027.SZ,59069.906724857974,34681983429,62988.1631672364,209776260423
000031.SZ,33069.666541601684,14815455076,35067.58453409651,50590743634
000039.SZ,125603.05667526278,18362018067,134556.4090830124,237489758333
000050.SZ,94761.14046913624,24288225082,101015.23864514925,237268758665
000060.SZ,41776.729735682624,82817248649,44615.572954779214,357963782868
000062.SZ,118762.69064533742,15667968020,127434.92398982392,193431211361
000089.SZ,65211.97685390991,11913600222,69224.26098472679,80816301996
000155.SZ,203041.96316494583,84772603053,220058.47176101853,1776754644964
000156.SZ,69666.61586836657,7648691642,73218.58180652293,54709011185
000400.SZ,210331.9138209312,195561785358,230457.69108653977,4288200051341
000401.SZ,86896.1996239232,30511098101,93578.07999539627,273214499767
000402.SZ,52972.39085397851,22880768634,56543.5125833228,124511069782
000415.SZ,19855.22880180924,43691572340,21103.733815192936,89593194123
000513.SZ,307362.7591375371,11182034721,324648.33212707506,353931782314
000519.SZ,300167.9245884088,81815842688,322762.75433537614,2531169564287
000537.SZ,110725.49976057497,58839006613,118324.2362592366,671597756692
000540.SZ,15069.520128795071,300330485659,16140.247698945732,470451474290
000547.SZ,124958.94752812508,620708270017,140486.81707781597,8196033477504
000553.SZ,104971.5911518926,9132265466,109783.10228517788,98483061563
000559.SZ,57856.35893292138,54935831832,61973.352252535995,328269681575
000563.SZ,29057.925346545548,31691855379,31093.05821892298,94617730322
000581.SZ,182952.9291584188,5656269116,197571.64651578813,107689462857
000591.SZ,78590.16558628109,174547209347,84699.8645765722,1410183796203
000598.SZ,47109.72968094646,21159634384,49685.64805216658,102341608801
000623.SZ,135293.1417135883,8265200678,146065.88463791605,115539818150
000629.SZ,61069.70734098938,748841057873,67167.45799000953,4783751666030
000636.SZ,176425.62928181453,110834258933,186733.96680664376,2003907264918
000656.SZ,23443.71924065813,190447799158,25027.483757495967,458659013752
000683.SZ,85020.18300308312,152096675230,90864.21171080534,1323276475366
000703.SZ,85067.25931171018,48666283665,90769.69373914553,425378083024
000709.SZ,25210.642901840176,270873942097,27006.74346479877,705099149812
000728.SZ,61364.29536375095,52813282733,65707.95237534994,332959473476
000729.SZ,78521.00654643732,49191000081,85506.5150172525,400057475427
000738.SZ,265822.27090718184,35693350150,283369.9956997623,980559487475
000739.SZ,178840.89895920124,24393078562,190224.39175809993,450668212585
000750.SZ,32881.26355341617,46929321991,35215.53610361076,158711645608
000778.SZ,40037.20007025235,65978435093,42631.91989681479,271563612442
000783.SZ,50769.84772474012,29132819760,53907.17956339068,152060652242
000785.SZ,38199.30450826039,12592575154,40662.4390692347,49549914730
000807.SZ,92519.89791460798,137563754435,98682.04103904423,1308483883253
000825.SZ,45587.53808102828,53418148859,48650.055019581574,251022239804
000830.SZ,128658.64433010556,46283750489,137505.90251658746,610274356508
000831.SZ,270036.70784492657,53014524737,290324.7669483738,1482311785746
000869.SZ,263167.19287878583,2031880480,282631.1050581451,55235652513
000878.SZ,108655.02449235751,30858146250,116078.43331736095,344292913443
000883.SZ,46537.000713203335,39827271661,49909.97096619947,190689954791
000887.SZ,197479.98382242225,91890598370,215222.89933939942,1917372684434
000898.SZ,27809.754341936525,37265129874,29408.277895836083,106849387938
000930.SZ,82146.97198533632,14693555660,88058.39860277799,124621788721
000932.SZ,43127.21665728217,84884426322,45360.75253615731,374268077598
000937.SZ,61527.19470010856,62421858021,65755.86065899796,396108537028
000960.SZ,138558.66281115738,70925055278,148447.68791155514,1019607992941
000961.SZ,25396.15787699547,166640622605,27098.735554507206,433939022779
000967.SZ,48031.92742123138,10136532846,51489.92892136631,50047145746
000987.SZ,59488.80361043295,28944775292,63971.51850304718,176825596142
000988.SZ,230356.19402723873,71870177276,246740.2244179197,1707274318089
000990.SZ,94191.78086894454,9749278465,102203.88812304902,96078112341
000997.SZ,147311.66823866384,124215678086,158957.19583851902,1909818196788
000998.SZ,144785.01570021245,34976021271,154915.10834781456,523293219989
000999.SZ,360452.3602996495,20416931558,384537.38512463385,755730230337
001203.SZ,104422.60490670493,9914622313,112153.13182634894,106413950813
001872.SZ,148363.44271144416,2444753537,157662.98316131052,37291091289
001914.SZ,155217.91771935974,7237713394,166734.45402201207,116419206907
002002.SZ,34785.08610756097,109543813500,37146.01173375921,391216474039
002010.SZ,52970.64550943641,44057751004,56446.30159344124,238622570850
002019.SZ,113106.1853463365,12038438375,121137.2187186223,139924744429
002025.SZ,696457.5365562002,5103851909,742903.9922188513,366516905803
002028.SZ,427156.56928949454,17636138527,462899.6516964789,774170452125
002030.SZ,172534.43964242592,66690308758,183069.70623450083,1179326946159
002048.SZ,159142.55497759726,18452760404,170949.84053696512,306351074606
002056.SZ,204506.6776787456,90409431406,219665.70955041834,1923977596100
002065.SZ,60716.636018078105,92843923104,64305.84395920662,580068790617
002078.SZ,110863.85639889326,23654465491,118708.9562695317,268766519317
002080.SZ,246398.714801885,50544447461,263650.20156071096,1279171033633
002081.SZ,45646.74340061501,26215270688,48461.18331232419,122631906348
002110.SZ,52405.12436342999,11619554841,56572.22210752994,63471429249
002124.SZ,68658.97792175632,96350818138,73200.71464884866,680666926290
002127.SZ,46668.54258512969,53493408293,49930.16084252075,256169072382
002128.SZ,122679.57509535068,29074759525,131515.2614467673,366040377185
002131.SZ,18197.95496455665,198950976778,19272.383956445887,372974155100
002138.SZ,257500.41117552758,49004402375,276648.2608912417,1308000961852
002146.SZ,25767.74381117645,80863705203,27376.989211864595,214615400978
002152.SZ,90374.02489769357,70672642727,95523.84885726181,658165817506
002153.SZ,130892.0286964096,16487175593,140943.01053845417,224621523311
002155.SZ,121697.90695071696,82090110105,130526.12300964714,1032206889651
002156.SZ,183300.3903510457,429106743914,36834.62125253661,7818914180843
002183.SZ,58964.73320642472,91632272832,64093.09460982567,557779595933
002185.SZ,98689.52573634541,582435385826,30631.903772630372,5690695696162
002191.SZ,87638.13892738588,120661610759,94181.78749583497,1092548703918
002192.SZ,1295821.7572610523,25788552431,1402084.7189839466,3442533161730
002195.SZ,20961.2863287601,163697562965,22138.903198195607,352776252929
